method,description,initial_value,years,result
iterative,e from core::f64::consts::E,2.718281828459045,50,-4396803930182068517325088235103664583272782888960.00
logarithmic,e from core::f64::consts::E,2.718281828459045,50,82053116851445802583960341587910815325189151148662146985248161792.00
logarithmic,e from core::f64::consts::E,2.718281828459045,50,51639023649732427007593375181162828493132086312147359805690871808.00
iterative,e from core::f64::consts::E,2.718281828459045,50,-4396803930182068517325088235103664583272782888960.00
logarithmic,e approximated to 2 decimals,2.72,50,50050476905328116758198021938860776221954902640401542500562501632.0000000000
logarithmic,e approximated to 3 decimals,2.718,50,49989648718924680022066101761318543080716011393082922636872253440.0000000000
logarithmic,e approximated to 4 decimals,2.7183,50,49998772946885201670792766577742134507378142488569398171342471168.0000000000
logarithmic,e approximated to 5 decimals,2.71828,50,49998164665021165725009679058591560515986134242510550744298422272.0000000000
logarithmic,e approximated to 6 decimals,2.718282,50,49998225493207564058182093419256112381859937288497564725645672448.0000000000
logarithmic,e approximated to 7 decimals,2.7182818,50,49998219410388929486270746374440162728537954762517734088868102144.0000000000
logarithmic,e approximated to 8 decimals,2.71828183,50,49998220322811720872153191370814967846955687079078857578960125952.0000000000
logarithmic,e approximated to 9 decimals,2.718281828,50,49998220261983531661890868731797088671200195129904340746964566016.0000000000
logarithmic,e approximated to 10 decimals,2.7182818285,50,49998220277190578964456449391551558465139068117197969954963456000.0000000000
logarithmic,e approximated to 11 decimals,2.71828182846,50,49998220275974013309529107155215465580907372401372214458729889792.0000000000
logarithmic,e approximated to 12 decimals,2.718281828459,50,49998220275943596537452976403681810492168881119167135190645473280.0000000000
logarithmic,e approximated to 13 decimals,2.718281828459,50,49998220275943596537452976403681810492168881119167135190645473280.0000000000
logarithmic,e approximated to 14 decimals,2.71828182845905,50,49998220275945122345162349866328415139134236918639655984220340224.0000000000
logarithmic,e approximated to 15 decimals,2.718281828459045,50,49998220275944976194998616776036594770650965290337690390966042624.0000000000
iterative,e approximated to 2 decimals,2.72,50,52256629383135640000000000000000000000000000000000000000000000
iterative,e approximated to 3 decimals,2.718,50,-8571557020297910000000000000000000000000000000000000000000000
iterative,e approximated to 4 decimals,2.7183,50,552670940221847400000000000000000000000000000000000000000000
iterative,e approximated to 5 decimals,2.71828,50,-55610923816405120000000000000000000000000000000000000000000
iterative,e approximated to 6 decimals,2.718282,50,5217262582017519000000000000000000000000000000000000000000
iterative,e approximated to 7 decimals,2.7182818,50,-865556048370144900000000000000000000000000000000000000000
iterative,e approximated to 8 decimals,2.71828183,50,46866742136032910000000000000000000000000000000000000000
iterative,e approximated to 9 decimals,2.718281828,50,-13961449300340584000000000000000000000000000000000000000
iterative,e approximated to 10 decimals,2.7182818285,50,1245598558752787300000000000000000000000000000000000000
iterative,e approximated to 11 decimals,2.71828182846,50,29034730025318203000000000000000000000000000000000000
iterative,e approximated to 12 decimals,2.718281828459,50,-1382067006992197000000000000000000000000000000000000
iterative,e approximated to 13 decimals,2.718281828459,50,-1382067006992197000000000000000000000000000000000000
iterative,e approximated to 14 decimals,2.71828182845905,50,144175472870623500000000000000000000000000000000000
iterative,e approximated to 15 decimals,2.718281828459045,50,-4396803930182068500000000000000000000000000000000
